daily_inf1,daily_inf2,daily_inf3,daily_inf4,daily_inf5,daily_inf6,daily_inf7,daily_inf8,daily_inf9,daily_inf10,daily_inf11,daily_inf12,daily_inf13,daily_inf14,daily_inf15,daily_inf16,daily_inf17,daily_inf18,daily_inf19,daily_inf20,daily_inf21,daily_inf22,daily_inf23,daily_inf24,daily_inf25,daily_inf26,daily_inf27,daily_inf28,daily_inf29,daily_inf30,daily_inf31,daily_inf32,daily_inf33,daily_inf34,daily_inf35,daily_inf36,daily_inf37,daily_inf38,daily_inf39,daily_inf40,daily_inf41,daily_inf42,daily_inf43,daily_inf44,daily_inf45,daily_inf46,daily_inf47,daily_inf48,daily_inf49,daily_inf50,daily_inf51,daily_inf52,daily_inf53,daily_inf54,daily_inf55,daily_inf56,daily_inf57,daily_inf58,daily_inf59,daily_inf60,daily_inf61,daily_inf62,daily_inf63,daily_inf64,daily_inf65,daily_inf66,daily_inf67,daily_inf68,daily_inf69,daily_inf70,daily_inf71,daily_inf72,daily_inf73,daily_inf74,daily_inf75,daily_inf76,daily_inf77,daily_inf78,daily_inf79,daily_inf80,daily_inf81,daily_inf82,daily_inf83,daily_inf84,daily_inf85,daily_inf86,daily_inf87,daily_inf88,daily_inf89,daily_inf90,daily_inf91,daily_inf92,daily_inf93,daily_inf94,daily_inf95,daily_inf96,daily_inf97,daily_inf98,daily_inf99,daily_inf100,daily_inf101,daily_inf102,daily_inf103,daily_inf104,daily_inf105,daily_inf106,daily_inf107,daily_inf108,daily_inf109,daily_inf110,daily_inf111,daily_inf112,daily_inf113,daily_inf114,daily_inf115,daily_inf116,daily_inf117,daily_inf118,daily_inf119,daily_inf120,daily_inf121,daily_inf122,daily_inf123,daily_inf124,daily_inf125,daily_inf126,daily_inf127,daily_inf128,daily_inf129,daily_inf130,daily_inf131,daily_inf132,daily_inf133,daily_inf134,daily_inf135,daily_inf136,daily_inf137,daily_inf138,daily_inf139,daily_inf140,daily_inf141,daily_inf142,daily_inf143,daily_inf144,daily_inf145,daily_inf146,daily_inf147,daily_inf148,daily_inf149,daily_inf150,daily_inf151,daily_inf152,daily_inf153,daily_inf154,daily_inf155,daily_inf156,daily_inf157,daily_inf158,daily_inf159,daily_inf160,daily_inf161,daily_inf162,daily_inf163,daily_inf164,daily_inf165,daily_inf166,daily_inf167,daily_inf168,daily_inf169,daily_inf170,daily_inf171,daily_inf172,daily_inf173,daily_inf174,daily_inf175,daily_inf176,daily_inf177,daily_inf178,daily_inf179,daily_inf180,daily_inf181,daily_inf182,daily_inf183,daily_inf184,daily_inf185,daily_inf186,daily_inf187,daily_inf188,daily_inf189,daily_inf190,daily_inf191,daily_inf192,daily_inf193,daily_inf194,daily_inf195,daily_inf196,daily_inf197,daily_inf198,daily_inf199,daily_inf200,daily_inf201,daily_inf202,daily_inf203,daily_inf204,daily_inf205,daily_inf206,daily_inf207,daily_inf208,daily_inf209,daily_inf210,daily_inf211,daily_inf212,daily_inf213,daily_inf214,daily_inf215,daily_inf216,daily_inf217,daily_inf218,daily_inf219,daily_inf220,daily_inf221,daily_inf222,daily_inf223,daily_inf224,daily_inf225,daily_inf226,daily_inf227,daily_inf228,daily_inf229,daily_inf230,daily_inf231,daily_inf232,daily_inf233,daily_inf234,daily_inf235,daily_inf236,daily_inf237,daily_inf238,daily_inf239,daily_inf240,daily_inf241,daily_inf242,daily_inf243,daily_inf244,daily_inf245,daily_inf246,daily_inf247,daily_inf248,daily_inf249,daily_inf250,daily_inf251,daily_inf252,daily_inf253,daily_inf254,daily_inf255,daily_inf256,daily_inf257,daily_inf258,daily_inf259,daily_inf260,daily_inf261,daily_inf262,daily_inf263,daily_inf264,daily_inf265,daily_inf266,daily_inf267,daily_inf268,daily_inf269,daily_inf270,daily_inf271,daily_inf272,daily_inf273,daily_inf274,daily_inf275,daily_inf276,daily_inf277,daily_inf278,daily_inf279,daily_inf280,daily_inf281,daily_inf282,daily_inf283,daily_inf284,daily_inf285,daily_inf286,daily_inf287,daily_inf288,daily_inf289,daily_inf290,daily_inf291,daily_inf292,daily_inf293,daily_inf294,daily_inf295,daily_inf296,daily_inf297,daily_inf298,daily_inf299,daily_inf300,daily_inf301,daily_inf302,daily_inf303,daily_inf304,daily_inf305,daily_inf306,daily_inf307,daily_inf308,daily_inf309,daily_inf310,daily_inf311,daily_inf312,daily_inf313,daily_inf314,daily_inf315,daily_inf316,daily_inf317,daily_inf318,daily_inf319,daily_inf320,daily_inf321,daily_inf322,daily_inf323,daily_inf324,daily_inf325,daily_inf326,daily_inf327,daily_inf328,daily_inf329,daily_inf330,daily_inf331,daily_inf332,daily_inf333,daily_inf334,daily_inf335,daily_inf336,daily_inf337,daily_inf338,daily_inf339,daily_inf340,daily_inf341,daily_inf342,daily_inf343,daily_inf344,daily_inf345,daily_inf346,daily_inf347,daily_inf348,daily_inf349,daily_inf350,daily_inf351,daily_inf352,daily_inf353,daily_inf354,daily_inf355,daily_inf356,daily_inf357,daily_inf358,daily_inf359,daily_inf360,daily_inf361
143,152,162,191,231,240,276,318,353,364,372,423,465,512,363,380,434,437,456,420,409,412,440,419,419,405,438,430,457,502,541,496,565,549,593,656,642,678,706,710,755,836,846,896,913,923,1028,1056,1108,1110,1174,1241,1310,1408,1507,1419,1595,1695,1649,1816,1895,1947,2073,2109,2195,2353,2171,2354,2387,2404,2471,2472,2539,2555,2578,2788,2718,2719,2827,2920,2994,3080,3217,3145,3180,3306,3287,3484,3484,3606,3544,3602,3732,3708,3684,3913,3923,4007,4051,4091,4219,4266,4215,4363,4303,4357,4509,4577,4604,4641,4679,2833,2701,2683,2667,2448,2158,2005,1726,1599,1430,1312,1203,1072,973,874,785,705,1183,1137,1049,1022,918,1033,1028,1103,1015,1102,1059,1059,1053,1084,1114,1061,1121,1131,1033,1204,1128,1125,1192,1179,1136,1133,1162,1202,1168,1139,1164,1231,1193,1116,1203,1257,1218,1251,1143,1184,1216,1230,1239,1265,1241,1193,1235,1283,1326,1291,1211,1320,1232,1258,1259,1284,1284,1323,1257,1344,1231,1277,1335,1237,1243,1290,1283,1282,1296,1316,1245,1372,1293,1289,1257,1326,1331,1326,1354,1304,1293,1334,1257,1312,1313,1365,1404,1276,1350,1352,1301,1342,1284,1297,1271,1344,1282,1257,1300,1312,1399,1325,1317,1312,1271,1299,1290,1365,1293,1256,1289,1282,1321,1234,1274,1283,1238,1271,1302,1288,1214,1252,1265,1216,1336,1320,1235,1174,1232,1301,1290,1217,1218,1235,1242,1216,1187,1207,1207,1163,1166,1205,1176,1181,1162,1125,1119,1112,1067,1117,1012,1035,1080,1052,959,1023,1007,980,1020,1020,991,1055,999,947,906,982,954,944,1049,1118,1120,1127,1202,1189,1202,1198,1259,1236,1333,1249,1278,1386,1335,1347,1393,1426,1446,1472,1495,1481,1598,1463,1522,1348,1425,1403,1432,1415,1423,1332,1318,1332,1283,1301,1256,1254,1240,1250,1168,1177,1162,1104,1179,1181,1117,1103,1051,1047,1066,958,1006,984,944,945,999,920,1008,923,905,950,929,937,0
148,174,184,166,193,239,282,293,302,363,343,370,402,408,321,413,367,389,355,420,396,373,403,391,392,395,418,430,405,493,515,498,481,498,559,589,661,612,618,666,678,681,763,785,784,845,912,898,965,952,1050,1119,1158,1108,1263,1315,1308,1390,1488,1541,1653,1714,1713,1823,1998,1956,2081,2242,2231,2057,2226,2290,2345,2328,2357,2402,2450,2593,2518,2513,2684,2661,2840,2762,2951,2947,2906,3055,3049,3169,3140,3193,3239,3335,3287,3369,3437,3596,3635,3583,3668,3699,3781,3813,3932,3980,4031,4002,4138,4164,4225,4279,4220,4367,4413,4467,4622,4564,4595,2593,2649,2699,2481,2386,2137,1907,1711,1574,1438,1294,1148,1060,997,860,865,795,1236,1124,1048,981,1046,1019,1081,1115,1101,1082,1067,1099,1112,1108,1094,1145,1107,1180,1188,1198,1208,1230,1249,1300,1270,1292,1247,1272,1263,1336,1266,1239,1246,1234,1268,1198,1241,1206,1290,1301,1219,1228,1224,1244,1204,1194,1243,1224,1242,1208,1232,1215,1238,1254,1266,1298,1232,1259,1313,1255,1277,1259,1243,1294,1253,1287,1289,1315,1315,1227,1335,1350,1333,1339,1384,1387,1327,1290,1371,1362,1363,1377,1337,1351,1336,1267,1287,1397,1289,1245,1365,1279,1274,1305,1275,1294,1295,1321,1265,1267,1304,1311,1262,1259,1368,1319,1271,1299,1233,1256,1310,1261,1301,1161,1281,1260,1256,1293,1256,1260,1291,1238,1254,1250,1260,1167,1221,1139,1223,1157,1191,1175,1104,1109,1158,1184,1135,1100,1190,1065,1104,1050,1104,1071,1077,1099,1044,1071,1053,990,1036,1004,981,972,941,1053,976,981,933,1007,978,946,953,924,921,902,905,924,967,899,1013,968,928,1062,995,1030,1090,1066,1087,1163,1084,1139,1150,1202,1222,1222,1301,1281,1303,1355,1360,1330,1368,1413,1492,1513,1491,1523,1472,1556,1550,1594,1612,1650,1440,1479,1454,1471,1475,1354,1397,1418,1361,1281,1288,1320,1252,1194,1191,1175,1172,1208,1173,1211,0
