daily_hosp1,daily_hosp2,daily_hosp3,daily_hosp4,daily_hosp5,daily_hosp6,daily_hosp7,daily_hosp8,daily_hosp9,daily_hosp10,daily_hosp11,daily_hosp12,daily_hosp13,daily_hosp14,daily_hosp15,daily_hosp16,daily_hosp17,daily_hosp18,daily_hosp19,daily_hosp20,daily_hosp21,daily_hosp22,daily_hosp23,daily_hosp24,daily_hosp25,daily_hosp26,daily_hosp27,daily_hosp28,daily_hosp29,daily_hosp30,daily_hosp31,daily_hosp32,daily_hosp33,daily_hosp34,daily_hosp35,daily_hosp36,daily_hosp37,daily_hosp38,daily_hosp39,daily_hosp40,daily_hosp41,daily_hosp42,daily_hosp43,daily_hosp44,daily_hosp45,daily_hosp46,daily_hosp47,daily_hosp48,daily_hosp49,daily_hosp50,daily_hosp51,daily_hosp52,daily_hosp53,daily_hosp54,daily_hosp55,daily_hosp56,daily_hosp57,daily_hosp58,daily_hosp59,daily_hosp60,daily_hosp61,daily_hosp62,daily_hosp63,daily_hosp64,daily_hosp65,daily_hosp66,daily_hosp67,daily_hosp68,daily_hosp69,daily_hosp70,daily_hosp71,daily_hosp72,daily_hosp73,daily_hosp74,daily_hosp75,daily_hosp76,daily_hosp77,daily_hosp78,daily_hosp79,daily_hosp80,daily_hosp81,daily_hosp82,daily_hosp83,daily_hosp84,daily_hosp85,daily_hosp86,daily_hosp87,daily_hosp88,daily_hosp89,daily_hosp90,daily_hosp91,daily_hosp92,daily_hosp93,daily_hosp94,daily_hosp95,daily_hosp96,daily_hosp97,daily_hosp98,daily_hosp99,daily_hosp100,daily_hosp101,daily_hosp102,daily_hosp103,daily_hosp104,daily_hosp105,daily_hosp106,daily_hosp107,daily_hosp108,daily_hosp109,daily_hosp110,daily_hosp111,daily_hosp112,daily_hosp113,daily_hosp114,daily_hosp115,daily_hosp116,daily_hosp117,daily_hosp118,daily_hosp119,daily_hosp120,daily_hosp121,daily_hosp122,daily_hosp123,daily_hosp124,daily_hosp125,daily_hosp126,daily_hosp127,daily_hosp128,daily_hosp129,daily_hosp130,daily_hosp131,daily_hosp132,daily_hosp133,daily_hosp134,daily_hosp135,daily_hosp136,daily_hosp137,daily_hosp138,daily_hosp139,daily_hosp140,daily_hosp141,daily_hosp142,daily_hosp143,daily_hosp144,daily_hosp145,daily_hosp146,daily_hosp147,daily_hosp148,daily_hosp149,daily_hosp150,daily_hosp151,daily_hosp152,daily_hosp153,daily_hosp154,daily_hosp155,daily_hosp156,daily_hosp157,daily_hosp158,daily_hosp159,daily_hosp160,daily_hosp161,daily_hosp162,daily_hosp163,daily_hosp164,daily_hosp165,daily_hosp166,daily_hosp167,daily_hosp168,daily_hosp169,daily_hosp170,daily_hosp171,daily_hosp172,daily_hosp173,daily_hosp174,daily_hosp175,daily_hosp176,daily_hosp177,daily_hosp178,daily_hosp179,daily_hosp180,daily_hosp181,daily_hosp182,daily_hosp183,daily_hosp184,daily_hosp185,daily_hosp186,daily_hosp187,daily_hosp188,daily_hosp189,daily_hosp190,daily_hosp191,daily_hosp192,daily_hosp193,daily_hosp194,daily_hosp195,daily_hosp196,daily_hosp197,daily_hosp198,daily_hosp199,daily_hosp200,daily_hosp201,daily_hosp202,daily_hosp203,daily_hosp204,daily_hosp205,daily_hosp206,daily_hosp207,daily_hosp208,daily_hosp209,daily_hosp210,daily_hosp211,daily_hosp212,daily_hosp213,daily_hosp214,daily_hosp215,daily_hosp216,daily_hosp217,daily_hosp218,daily_hosp219,daily_hosp220,daily_hosp221,daily_hosp222,daily_hosp223,daily_hosp224,daily_hosp225,daily_hosp226,daily_hosp227,daily_hosp228,daily_hosp229,daily_hosp230,daily_hosp231,daily_hosp232,daily_hosp233,daily_hosp234,daily_hosp235,daily_hosp236,daily_hosp237,daily_hosp238,daily_hosp239,daily_hosp240,daily_hosp241,daily_hosp242,daily_hosp243,daily_hosp244,daily_hosp245,daily_hosp246,daily_hosp247,daily_hosp248,daily_hosp249,daily_hosp250,daily_hosp251,daily_hosp252,daily_hosp253,daily_hosp254,daily_hosp255,daily_hosp256,daily_hosp257,daily_hosp258,daily_hosp259,daily_hosp260,daily_hosp261,daily_hosp262,daily_hosp263,daily_hosp264,daily_hosp265,daily_hosp266,daily_hosp267,daily_hosp268,daily_hosp269,daily_hosp270,daily_hosp271,daily_hosp272,daily_hosp273,daily_hosp274,daily_hosp275,daily_hosp276,daily_hosp277,daily_hosp278,daily_hosp279,daily_hosp280,daily_hosp281,daily_hosp282,daily_hosp283,daily_hosp284,daily_hosp285,daily_hosp286,daily_hosp287,daily_hosp288,daily_hosp289,daily_hosp290,daily_hosp291,daily_hosp292,daily_hosp293,daily_hosp294,daily_hosp295,daily_hosp296,daily_hosp297,daily_hosp298,daily_hosp299,daily_hosp300,daily_hosp301,daily_hosp302,daily_hosp303,daily_hosp304,daily_hosp305,daily_hosp306,daily_hosp307,daily_hosp308,daily_hosp309,daily_hosp310,daily_hosp311,daily_hosp312,daily_hosp313,daily_hosp314,daily_hosp315,daily_hosp316,daily_hosp317,daily_hosp318,daily_hosp319,daily_hosp320,daily_hosp321,daily_hosp322,daily_hosp323,daily_hosp324,daily_hosp325,daily_hosp326,daily_hosp327,daily_hosp328,daily_hosp329,daily_hosp330,daily_hosp331,daily_hosp332,daily_hosp333,daily_hosp334,daily_hosp335,daily_hosp336,daily_hosp337,daily_hosp338,daily_hosp339,daily_hosp340,daily_hosp341,daily_hosp342,daily_hosp343,daily_hosp344,daily_hosp345,daily_hosp346,daily_hosp347,daily_hosp348,daily_hosp349,daily_hosp350,daily_hosp351,daily_hosp352,daily_hosp353,daily_hosp354,daily_hosp355,daily_hosp356,daily_hosp357,daily_hosp358,daily_hosp359,daily_hosp360,daily_hosp361
0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,4,8,2,1,8,6,7,8,8,5,16,3,18,6,10,6,14,9,9,13,17,11,13,15,14,8,20,17,15,14,18,15,14,24,18,20,20,23,15,30,18,28,34,22,38,30,25,42,28,39,38,40,58,38,37,57,47,44,46,54,53,63,61,59,70,57,64,75,62,67,58,76,77,65,60,75,73,86,80,86,80,92,78,96,82,84,90,93,78,100,77,113,101,86,95,107,115,116,107,108,118,98,98,100,101,84,73,75,80,54,58,60,50,43,54,33,34,41,30,34,29,38,22,35,40,21,30,31,22,26,31,30,20,36,24,27,28,16,34,42,20,25,27,36,38,24,36,24,42,20,29,22,24,30,32,33,30,35,17,21,34,21,26,26,34,38,27,25,24,36,35,28,19,34,29,28,27,22,32,42,36,39,38,23,30,26,29,29,34,30,42,21,33,34,38,39,32,34,26,35,22,37,34,37,36,26,38,32,37,31,41,33,40,51,36,36,25,34,21,22,26,32,35,32,32,26,26,32,36,44,36,35,35,25,48,32,35,35,27,35,31,20,35,42,39,43,25,27,33,25,32,33,18,30,31,30,29,45,33,28,30,30,30,24,29,35,28,27,31,22,17,24,26,23,29,27,28,23,23,23,12,23,35,22,28,27,28,29,19,29,35,23,34,36,29,20,29,30,33,29,26,31,31,29,39,34,30,39,44,38,33,39,36,39,33,37,33,31,29,31,29,21,33,27,34,28,32,49,38,26,38,31,23,27,26,30,27,31,17,29,24,27,22,28,27,34
0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,2,3,7,7,5,6,7,3,12,9,6,12,11,7,15,7,15,12,11,9,9,12,8,13,8,14,14,11,12,20,10,13,20,19,13,19,16,18,22,25,27,25,18,34,19,35,18,27,41,35,39,43,35,54,40,51,42,39,55,45,39,46,49,51,59,59,57,42,66,70,57,67,74,64,59,61,66,68,72,55,80,92,75,71,64,73,72,79,88,87,91,90,97,93,104,102,94,100,74,106,105,96,111,93,88,110,111,96,111,90,91,104,84,83,64,73,62,57,59,44,63,54,46,35,35,44,37,25,29,28,26,31,31,25,35,31,27,32,35,21,32,29,25,23,27,33,25,37,26,27,36,41,33,29,30,27,31,41,43,33,30,25,26,24,25,31,24,32,33,30,41,28,34,35,29,33,25,29,27,35,40,25,29,34,44,37,32,28,32,29,34,37,36,32,30,31,36,42,39,35,26,36,28,41,44,29,25,28,31,32,36,31,30,28,27,40,33,37,35,28,34,23,30,36,26,29,28,43,34,28,21,36,28,26,35,36,43,37,40,23,33,37,32,41,34,36,23,32,23,33,29,30,32,31,41,22,25,30,30,35,26,28,19,18,33,19,44,33,29,34,30,28,24,22,29,28,19,19,27,27,29,31,32,21,30,18,27,26,23,22,24,21,21,20,32,19,19,28,31,12,24,28,23,32,22,22,29,20,30,30,28,23,24,28,23,41,25,44,34,38,24,36,26,47,25,18,42,36,42,48,43,41,33,31,46,34,51,38,38,47,40,32,31,37,40,34
