AL_history1,AL_history2,AL_history3,AL_history4,AL_history5,AL_history6,AL_history7,AL_history8,AL_history9,AL_history10,AL_history11,AL_history12,AL_history13,AL_history14,AL_history15,AL_history16,AL_history17,AL_history18,AL_history19,AL_history20,AL_history21,AL_history22,AL_history23,AL_history24,AL_history25,AL_history26,AL_history27,AL_history28,AL_history29,AL_history30,AL_history31,AL_history32,AL_history33,AL_history34,AL_history35,AL_history36,AL_history37,AL_history38,AL_history39,AL_history40,AL_history41,AL_history42,AL_history43,AL_history44,AL_history45,AL_history46,AL_history47,AL_history48,AL_history49,AL_history50,AL_history51,AL_history52,AL_history53,AL_history54,AL_history55,AL_history56,AL_history57,AL_history58,AL_history59,AL_history60,AL_history61,AL_history62,AL_history63,AL_history64,AL_history65,AL_history66,AL_history67,AL_history68,AL_history69,AL_history70,AL_history71,AL_history72,AL_history73,AL_history74,AL_history75,AL_history76,AL_history77,AL_history78,AL_history79,AL_history80,AL_history81,AL_history82,AL_history83,AL_history84,AL_history85,AL_history86,AL_history87,AL_history88,AL_history89,AL_history90,AL_history91,AL_history92,AL_history93,AL_history94,AL_history95,AL_history96,AL_history97,AL_history98,AL_history99,AL_history100,AL_history101,AL_history102,AL_history103,AL_history104,AL_history105,AL_history106,AL_history107,AL_history108,AL_history109,AL_history110,AL_history111,AL_history112,AL_history113,AL_history114,AL_history115,AL_history116,AL_history117,AL_history118,AL_history119,AL_history120,AL_history121,AL_history122,AL_history123,AL_history124,AL_history125,AL_history126,AL_history127,AL_history128,AL_history129,AL_history130,AL_history131,AL_history132,AL_history133,AL_history134,AL_history135,AL_history136,AL_history137,AL_history138,AL_history139,AL_history140,AL_history141,AL_history142,AL_history143,AL_history144,AL_history145,AL_history146,AL_history147,AL_history148,AL_history149,AL_history150,AL_history151,AL_history152,AL_history153,AL_history154,AL_history155,AL_history156,AL_history157,AL_history158,AL_history159,AL_history160,AL_history161,AL_history162,AL_history163,AL_history164,AL_history165,AL_history166,AL_history167,AL_history168,AL_history169,AL_history170,AL_history171,AL_history172,AL_history173,AL_history174,AL_history175,AL_history176,AL_history177,AL_history178,AL_history179,AL_history180,AL_history181,AL_history182,AL_history183,AL_history184,AL_history185,AL_history186,AL_history187,AL_history188,AL_history189,AL_history190,AL_history191,AL_history192,AL_history193,AL_history194,AL_history195,AL_history196,AL_history197,AL_history198,AL_history199,AL_history200,AL_history201,AL_history202,AL_history203,AL_history204,AL_history205,AL_history206,AL_history207,AL_history208,AL_history209,AL_history210,AL_history211,AL_history212,AL_history213,AL_history214,AL_history215,AL_history216,AL_history217,AL_history218,AL_history219,AL_history220,AL_history221,AL_history222,AL_history223,AL_history224,AL_history225,AL_history226,AL_history227,AL_history228,AL_history229,AL_history230,AL_history231,AL_history232,AL_history233,AL_history234,AL_history235,AL_history236,AL_history237,AL_history238,AL_history239,AL_history240,AL_history241,AL_history242,AL_history243,AL_history244,AL_history245,AL_history246,AL_history247,AL_history248,AL_history249,AL_history250,AL_history251,AL_history252,AL_history253,AL_history254,AL_history255,AL_history256,AL_history257,AL_history258,AL_history259,AL_history260,AL_history261,AL_history262,AL_history263,AL_history264,AL_history265,AL_history266,AL_history267,AL_history268,AL_history269,AL_history270,AL_history271,AL_history272,AL_history273,AL_history274,AL_history275,AL_history276,AL_history277,AL_history278,AL_history279,AL_history280,AL_history281,AL_history282,AL_history283,AL_history284,AL_history285,AL_history286,AL_history287,AL_history288,AL_history289,AL_history290,AL_history291,AL_history292,AL_history293,AL_history294,AL_history295,AL_history296,AL_history297,AL_history298,AL_history299,AL_history300,AL_history301,AL_history302,AL_history303,AL_history304,AL_history305,AL_history306,AL_history307,AL_history308,AL_history309,AL_history310,AL_history311,AL_history312,AL_history313,AL_history314,AL_history315,AL_history316,AL_history317,AL_history318,AL_history319,AL_history320,AL_history321,AL_history322,AL_history323,AL_history324,AL_history325,AL_history326,AL_history327,AL_history328,AL_history329,AL_history330,AL_history331,AL_history332,AL_history333,AL_history334,AL_history335,AL_history336,AL_history337,AL_history338,AL_history339,AL_history340,AL_history341,AL_history342,AL_history343,AL_history344,AL_history345,AL_history346,AL_history347,AL_history348,AL_history349,AL_history350,AL_history351,AL_history352,AL_history353,AL_history354,AL_history355,AL_history356,AL_history357,AL_history358,AL_history359,AL_history360,AL_history361
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
